Super Mario Galaxy,1,9.764
The Legend of Zelda: Ocarina of Time,2,9.754
Super Mario Odyssey,3,9.742
Super Mario Galaxy 2,4,9.735
The Legend of Zelda: Breath of the Wild,5,9.733
Grand Theft Auto IV,6,9.704
Grand Theft Auto V,7,9.701
Grand Theft Auto IV,8,9.667
SoulCalibur,9,9.656
Red Dead Redemption 2,10,9.645
Uncharted 2: Among Thieves,11,9.643
Super Mario 64,12,9.641
The Orange Box,13,9.636
Metroid Prime,14,9.633
Grand Theft Auto V,15,9.633
Grand Theft Auto V,16,9.61
Batman: Arkham City,17,9.594
The Orange Box,18,9.588
Resident Evil 4,19,9.585
Resident Evil 4,20,9.583
Tekken 3,21,9.58
Mass Effect 2,22,9.577
The Last of Us Remastered,23,9.57
Halo: Combat Evolved,24,9.554
Half-Life 2,25,9.548
Grand Theft Auto III,26,9.519
Portal 2,27,9.516
The Elder Scrolls V: Skyrim,28,9.515
The Last of Us,29,9.509
Metal Gear Solid 2: Sons of Liberty,30,9.509
Grand Theft Auto: San Andreas,31,9.508
BioShock,32,9.507
Grand Theft Auto V,33,9.507
Gran Turismo,34,9.495
Journey,35,9.48
Ninja Gaiden Black,36,9.476
Tony Hawk's Pro Skater 2,37,9.475
LittleBigPlanet,38,9.475
GoldenEye 007,39,9.47
Red Dead Redemption,40,9.466
Grand Theft Auto Double Pack,41,9.46
BioShock,42,9.458
The Legend of Zelda: Twilight Princess,43,9.458
Halo 2,44,9.457
Perfect Dark,45,9.455
Gran Turismo 3: A-Spec,46,9.454
Mass Effect 2,47,9.452
NFL 2K1,48,9.45
The Legend of Zelda: The Wind Waker,49,9.443
Grand Theft Auto: Vice City,50,9.443
