The Witcher 3: Wild Hunt (PC) ,1,9.4
The Witcher 3: Wild Hunt - Blood and Wine (PC) ,2,9.2
The Last of Us (PS3) ,3,9.2
Xenoblade Chronicles (WII) ,4,9.2
Vanquish (X360) ,5,9.2
Portal (PC) ,6,9.2
The Orange Box (PC) ,7,9.2
God Hand (PS2) ,8,9.2
Resident Evil 4 (GC) ,9,9.2
Ratchet & Clank: Up Your Arsenal (PS2) ,10,9.2
Final Fantasy Tactics Advance (GBA) ,11,9.2
Metroid Prime (GC) ,12,9.2
Resident Evil (GC) ,13,9.2
Counter-Strike (PC) ,14,9.2
Baldur's Gate II: Shadows of Amn (PC) ,15,9.2
Deus Ex (PC) ,16,9.2
The Legend of Dragoon (PS) ,17,9.2
Planescape: Torment (PC) ,18,9.2
Suikoden II (PS) ,19,9.2
Metal Gear Solid (PS) ,20,9.2
Xenogears (PS) ,21,9.2
Final Fantasy Tactics (PS) ,22,9.2
Resident Evil 2 (PS) ,23,9.2
Castlevania: Symphony of the Night (PS) ,24,9.2
Final Fantasy VII (PS) ,25,9.2
Super Mario 64 (N64) ,26,9.2
Resident Evil 2 (PC) ,27,9.1
NieR: Automata - Become as Gods Edition (XONE) ,28,9.1
God of War (PS4) ,29,9.1
The Evil Within 2 (XONE) ,30,9.1
Xenoblade Chronicles X (WIIU) ,31,9.1
The Witcher 3: Wild Hunt - Hearts of Stone (PC) ,32,9.1
The Last of Us Remastered (PS4) ,33,9.1
Fire Emblem: Awakening (3DS) ,34,9.1
Final Fantasy IV: The Complete Collection (PSP) ,35,9.1
Vanquish (PS3) ,36,9.1
Super Mario Galaxy 2 (WII) ,37,9.1
Metroid Prime Trilogy (WII) ,38,9.1
Chrono Trigger (DS) ,39,9.1
Left 4 Dead (PC) ,40,9.1
Half-Life 2: Episode Two (PC) ,41,9.1
Team Fortress 2 (PC) ,42,9.1
Final Fantasy (PSP) ,43,9.1
Final Fantasy VI Advance (GBA) ,44,9.1
Okami (PS2) ,45,9.1
Kingdom Hearts II (PS2) ,46,9.1
Suikoden V (PS2) ,47,9.1
Shadow of the Colossus (PS2) ,48,9.1
Day of Defeat: Source (PC) ,49,9.1
Metal Gear Solid 3: Snake Eater (PS2) ,50,9.1
Half-Life 2 (PC) ,51,9.1
Paper Mario: The Thousand-Year Door (GC) ,52,9.1
Rome: Total War (PC) ,53,9.1
Tales of Symphonia (GC) ,54,9.1
Fire Emblem (GBA) ,55,9.1
Advance Wars 2: Black Hole Rising (GBA) ,56,9.1
Day of Defeat (PC) ,57,9.1
Dark Cloud 2 (PS2) ,58,9.1
Mafia (PC) ,59,9.1
Warcraft III: Reign of Chaos (PC) ,60,9.1
Super Smash Bros. Melee (GC) ,61,9.1
Shenmue II (DC) ,62,9.1
Max Payne (PC) ,63,9.1
Final Fantasy Chronicles (PS) ,64,9.1
Paper Mario (N64) ,65,9.1
Lunar 2: Eternal Blue Complete (PS) ,66,9.1
Resident Evil 3: Nemesis (DC) ,67,9.1
Dino Crisis (DC) ,68,9.1
Final Fantasy IX (PS) ,69,9.1
The Legend of Zelda: Majora's Mask (N64) ,70,9.1
System Shock 2 (PC) ,71,9.1
Silent Hill (PS) ,72,9.1
The Legend of Zelda: Ocarina of Time (N64) ,73,9.1
Grim Fandango (PC) ,74,9.1
Fallout 2 (PC) ,75,9.1
Parasite Eve (PS) ,76,9.1
Banjo-Kazooie (N64) ,77,9.1
Tekken 3 (PS) ,78,9.1
Starcraft (PC) ,79,9.1
Resident Evil 2 (PS4) ,80,9
Resident Evil 2 (XONE) ,81,9
Pokemon Ultra Moon (3DS) ,82,9
Pokemon Ultra Sun (3DS) ,83,9
Super Mario Odyssey (Switch) ,84,9
Final Fantasy IX (PS4) ,85,9
Final Fantasy X / X-2 HD Remaster (PC) ,86,9
Bloodborne: The Old Hunters (PS4) ,87,9
Kingdom Hearts HD 2.5 ReMIX (PS3) ,88,9
Mario Kart 8 DLC Pack 1 (WIIU) ,89,9
Theatrhythm Final Fantasy: Curtain Call (3DS) ,90,9
Final Fantasy X / X-2 HD Remaster (VITA) ,91,9
The Legend of Zelda: A Link Between Worlds (3DS) ,92,9
To the Moon (PC) ,93,9
The Legend of Zelda: Ocarina of Time 3D (3DS) ,94,9
Portal 2 (PC) ,95,9
