The Legend of Zelda: Ocarina of Time (N64) ,1,9.9
Tony Hawk's Pro Skater 2 (PS) ,2,9.8
Grand Theft Auto IV (PS3) ,3,9.8
SoulCalibur (DC) ,4,9.8
Grand Theft Auto IV (X360) ,5,9.8
Super Mario Galaxy (WII) ,6,9.7
Super Mario Galaxy 2 (WII) ,7,9.7
Red Dead Redemption 2 (XONE) ,8,9.7
Grand Theft Auto V (XONE) ,9,9.7
Grand Theft Auto V (PS3) ,10,9.7
Grand Theft Auto V (X360) ,11,9.7
Tony Hawk's Pro Skater 2 (DC) ,12,9.7
The Legend of Zelda: Breath of the Wild (Switch) ,13,9.7
Tony Hawk's Pro Skater 3 (PS2) ,14,9.7
Perfect Dark (N64) ,15,9.7
Red Dead Redemption 2 (PS4) ,16,9.7
Grand Theft Auto V (PS4) ,17,9.7
Metroid Prime (GC) ,18,9.7
Grand Theft Auto III (PS2) ,19,9.7
Super Mario Odyssey (Switch) ,20,9.7
Halo: Combat Evolved (XBOX) ,21,9.7
NFL 2K1 (DC) ,22,9.7
Half-Life 2 (PC) ,23,9.6
Grand Theft Auto V (PC) ,24,9.6
The Legend of Zelda: Breath of the Wild (WIIU) ,25,9.6
BioShock (X360) ,26,9.6
GoldenEye 007 (N64) ,27,9.6
Uncharted 2: Among Thieves (PS3) ,28,9.6
Resident Evil 4 (GC) ,29,9.6
The Orange Box (X360) ,30,9.6
The Orange Box (PC) ,31,9.6
Batman: Arkham City (PS3) ,32,9.6
Tekken 3 (PS) ,33,9.6
Mass Effect 2 (X360) ,34,9.6
The Legend of Zelda: Twilight Princess (GC) ,35,9.6
The Elder Scrolls V: Skyrim (X360) ,36,9.6
Half-Life (PC) ,37,9.6
Resident Evil 4 (PS2) ,38,9.6
The Legend of Zelda: The Wind Waker (GC) ,39,9.6
Gran Turismo (PS) ,40,9.6
BioShock (PC) ,41,9.6
Metal Gear Solid 2: Sons of Liberty (PS2) ,42,9.6
Grand Theft Auto Double Pack (XBOX) ,43,9.6
Baldur's Gate II: Shadows of Amn (PC) ,44,9.5
Grand Theft Auto: San Andreas (PS2) ,45,9.5
Grand Theft Auto: Vice City (PS2) ,46,9.5
LittleBigPlanet (PS3) ,47,9.5
The Legend of Zelda Collector's Edition (GC) ,48,9.5
Red Dead Redemption (PS3) ,49,9.5
Gran Turismo 3: A-Spec (PS2) ,50,9.5
Halo 2 (XBOX) ,51,9.5
The Legend of Zelda: A Link to the Past (GBA) ,52,9.5
The Legend of Zelda: Majora's Mask (N64) ,53,9.5
The Last of Us (PS3) ,54,9.5
The Legend of Zelda: Twilight Princess (WII) ,55,9.5
Madden NFL 2003 (PS2) ,56,9.5
Tony Hawk's Pro Skater 2 (GBA) ,57,9.5
The Last of Us Remastered (PS4) ,58,9.5
Portal 2 (PC) ,59,9.5
Red Dead Redemption (X360) ,60,9.5
Portal 2 (X360) ,61,9.5
Metal Gear Solid V: The Phantom Pain (XONE) ,62,9.5
Portal 2 (PS3) ,63,9.5
World of Goo (WII) ,64,9.4
BioShock Infinite (PS3) ,65,9.4
Final Fantasy IX (PS) ,66,9.4
